word,0,problem,can_be_noun,can_be_verb,replacement,parse
you,463511,,,,,
the,356385,,,,,
i,324375,,,,,
be,308169,,,,,
do,303280,,,,,
it,284863,,,,,
a,267548,,,,,
that,254366,,,,,
what,201747,,,,,
and,192398,,,,,
go,170425,,,,,
to,147587,,,,,
this,126228,,,,,
yeah,118836,,,,,
in,112017,,,,,
no,109304,,,,,
have,108764,,,,,
he,105379,,,,,
oh,100691,,,,,
want,98053,,,,,
on,97462,,,,,
there,94103,,,,,
get,92031,,,,,
we,91263,,,,,
okay,88854,,,,,
can,87964,,,,,
one,84741,,,,,
here,82434,,,,,
like,74646,,,,,
your,72502,,,,,
see,71068,,,,,
me,63165,,,,,
of,62951,,,,,
look,58895,,,,,
know,57039,,,,,
they,56438,,,,,
right,54500,,,,,
put,53937,,,,,
my,53272,,,,,
she,52599,,,,,
up,51863,,,,,
with,50663,,,,,
where,49568,,,,,
for,48754,,,,,
say,48068,,,,,
come,46584,,,,,
not,45757,,,,,
good,42626,,,,,
let,41908,,,,,
at,40906,,,,,
think,40873,,,,,
now,40364,,,,,
all,39714,,,,,
mommy,39354,,,,,
so,38436,,,,,
some,37313,,,,,
will,37133,,,,,
little,35919,,,,,
how,35135,,,,,
make,34768,,,,,
just,33834,,,,,
but,33326,,,,,
them,32985,,,,,
eat,32314,,,,,
out,31756,,,,,
play,30808,,,,,
baby,30023,,,,,
yes,29975,,,,,
down,29775,,,,,
who,29698,,,,,
then,27869,,,,,
take,27373,,,,,
well,27317,,,,,
why,25621,,,,,
huh,25552,,,,,
too,25466,,,,,
more,25012,,,,,
her,24910,,,,,
because,24615,,,,,
big,24199,,,,,
about,23446,,,,,
when,23096,,,,,
if,22971,,,,,
him,22458,,,,,
back,22333,,,,,
his,22276,,,,,
over,22196,,,,,
two,21940,,,,,
daddy,20936,,,,,
hm,20564,,,,,
book,20528,,,,,
thing,19290,,,,,
these,18909,,,,,
off,18751,,,,,
mhm,18484,,,,,
tell,18108,,,,,
or,18045,,,,,
give,17114,,,,,
those,16550,,,,,
need,15753,,,,,
could,15491,,,,,
very,15050,,,,,
boy,15008,,,,,
something,14965,,,,,
